G:\Code\DarkSoulsMods\soulstruct-git\venv\Scripts\python.exe G:/Code/DarkSoulsMods/soulstruct-git/soulstruct/__main__.py
FOG_BANK 0 | s16 | s16 | fogBeginZ | 開始距離[m] | フォグの開始距離です
LIGHT_BANK 16 | s16 | s16 | colB_2 | Ｂ | 平行光源：２
LIGHT_BANK 17 | s16 | s16 | colA_2 | RGB倍率[％] | 平行光源：２
LIGHT_BANK 18 | s16 | s16 | colR_u | Ｒ | アンビエント上半球
LIGHT_BANK 19 | s16 | s16 | colG_u | Ｇ | アンビエント上半球
LIGHT_BANK 20 | s16 | s16 | colB_u | Ｂ | アンビエント上半球
LIGHT_BANK 21 | s16 | s16 | colA_u | RGB倍率[％] | アンビエント上半球
LIGHT_BANK 22 | s16 | s16 | colR_d | Ｒ | アンビエント下半球
LIGHT_BANK 23 | s16 | s16 | colG_d | Ｇ | アンビエント下半球
LIGHT_BANK 24 | s16 | s16 | colB_d | Ｂ | アンビエント下半球
LIGHT_BANK 25 | s16 | s16 | colA_d | RGB倍率[％] | アンビエント下半球
LIGHT_BANK 26 | s16 | s16 | degRotX_s | X角度 | 平行光源：スペキュラ
LIGHT_BANK 27 | s16 | s16 | degRotY_s | Ｙ角度 | 平行光源：スペキュラ
LIGHT_BANK 28 | s16 | s16 | colR_s | Ｒ | 平行光源：スペキュラ
LIGHT_BANK 29 | s16 | s16 | colG_s | Ｇ | 平行光源：スペキュラ
LIGHT_BANK 30 | s16 | s16 | colB_s | Ｂ | 平行光源：スペキュラ
LIGHT_BANK 31 | s16 | s16 | colA_s | RGB倍率[％] | 平行光源：スペキュラ
LIGHT_BANK 32 | s16 | s16 | envDif_colR | Ｒ | 環境光源：ディフューズ乗算色
LIGHT_BANK 33 | s16 | s16 | envDif_colG | Ｇ | 環境光源：ディフューズ乗算色
LIGHT_BANK 34 | s16 | s16 | envDif_colB | Ｂ | 環境光源：ディフューズ乗算色
LIGHT_BANK 35 | s16 | s16 | envDif_colA | RGB倍率[％] | 環境光源：ディフューズ乗算色
LIGHT_BANK 36 | s16 | s16 | envSpc_colR | Ｒ | 環境光源：スペキュラ乗算色
LIGHT_BANK 37 | s16 | s16 | envSpc_colG | Ｇ | 環境光源：スペキュラ乗算色
LIGHT_BANK 38 | s16 | s16 | envSpc_colB | Ｂ | 環境光源：スペキュラ乗算色
LIGHT_BANK 39 | s16 | s16 | envSpc_colA | RGB倍率[％] | 環境光源：スペキュラ乗算色
LIGHT_BANK 40 | s16 | s16 | envDif | 環境ディフューズ | 環境光源：ディフューズテクスチャID
LIGHT_BANK 41 | s16 | s16 | envSpc_0 | 環境スペキュラ０ | 環境光源：スペキュラ０テクスチャID
LIGHT_BANK 42 | s16 | s16 | envSpc_1 | 環境スペキュラ１ | 環境光源：スペキュラ１テクスチャID
LIGHT_BANK 43 | s16 | s16 | envSpc_2 | 環境スペキュラ２ | 環境光源：スペキュラ２テクスチャID
LIGHT_BANK 44 | s16 | s16 | envSpc_3 | 環境スペキュラ３ | 環境光源：スペキュラ３テクスチャID
LIGHT_BANK 45 | dummy8 | dummy8 | pad[2] | パディング | 
LIGHT_SCATTERING_BANK 0 | s16 | s16 | sunRotX | X角度 | 光源
LIGHT_SCATTERING_BANK 1 | s16 | s16 | sunRotY | Ｙ角度 | 光源
LIGHT_SCATTERING_BANK 2 | s16 | s16 | distanceMul | 距離倍率[％] | 距離倍率[%](0〜1000)
LIGHT_SCATTERING_BANK 3 | s16 | s16 | sunR | Ｒ | 光源
LIGHT_SCATTERING_BANK 4 | s16 | s16 | sunG | Ｇ | 光源
LIGHT_SCATTERING_BANK 5 | s16 | s16 | sunB | Ｂ | 光源
LIGHT_SCATTERING_BANK 6 | s16 | s16 | sunA | RGB倍率[％] | 光源
LIGHT_SCATTERING_BANK 7 | dummy8 | dummy8 | pad_0[2] | パディング | 
LIGHT_SCATTERING_BANK 8 | f32 | f32 | lsHGg | 散乱方向係数 | 散乱方向係数（-1:後方 1:前方）
LIGHT_SCATTERING_BANK 9 | f32 | f32 | lsBetaRay | レイリー散乱係数 | レイリー散乱係数（空気の分子）
LIGHT_SCATTERING_BANK 10 | f32 | f32 | lsBetaMie | ミー散乱係数 | ミー散乱係数（微粒子）
LIGHT_SCATTERING_BANK 11 | s16 | s16 | blendCoef | ブレンド係数[％] | スキャッタリングの係具合(100で最大)
LIGHT_SCATTERING_BANK 12 | s16 | s16 | reflectanceR | Ｒ | 地上の乱反射光色
LIGHT_SCATTERING_BANK 13 | s16 | s16 | reflectanceG | Ｇ | 地上の乱反射光色
LIGHT_SCATTERING_BANK 14 | s16 | s16 | reflectanceB | Ｂ | 地上の乱反射光色
LIGHT_SCATTERING_BANK 15 | s16 | s16 | reflectanceA | RGB倍率[％] | 地上の乱反射光色
LIGHT_SCATTERING_BANK 16 | dummy8 | dummy8 | pad_1[2] | パディング | 
POINT_LIGHT_BANK 0 | f32 | f32 | dwindleBegin | 減衰開始距離[m] | 点光源
POINT_LIGHT_BANK 1 | f32 | f32 | dwindleEnd | 減衰終了距離[m] | 点光源
POINT_LIGHT_BANK 2 | s16 | s16 | colR | Ｒ | 点光源
POINT_LIGHT_BANK 3 | s16 | s16 | colG | Ｇ | 点光源
POINT_LIGHT_BANK 4 | s16 | s16 | colB | Ｂ | 点光源
POINT_LIGHT_BANK 5 | s16 | s16 | colA | RGB倍率[％] | 点光源
LENS_FLARE_BANK 0 | s8 | s8 | texId | テクスチャID | テクスチャ(lensflare_??)
LENS_FLARE_BANK 1 | u8 | u8 | isFlare | フレアか | 0:ゴースト, 1:フレア
LENS_FLARE_BANK 2 | u8 | u8 | enableRoll | 回転有効 | 0:無効, 1:有効
LENS_FLARE_BANK 3 | u8 | u8 | enableScale | スケール有効 | 0:無効, 1:有効
LENS_FLARE_BANK 4 | f32 | f32 | locateDistRate | 配置距離率 | 0.0:光源位置〜1.0:画面中心
LENS_FLARE_BANK 5 | f32 | f32 | texScale | テクスチャスケール | テクスチャのスケール
LENS_FLARE_BANK 6 | s16 | s16 | colR | Ｒ | テクスチャ乗算色
LENS_FLARE_BANK 7 | s16 | s16 | colG | Ｇ | テクスチャ乗算色
LENS_FLARE_BANK 8 | s16 | s16 | colB | Ｂ | テクスチャ乗算色
LENS_FLARE_BANK 9 | s16 | s16 | colA | Ａ | テクスチャ乗算色
LENS_FLARE_EX_BANK 0 | s16 | s16 | lightDegRotX | 光源X角度[deg] | 光源のX角度
LENS_FLARE_EX_BANK 1 | s16 | s16 | lightDegRotY | 光源Y角度[deg] | 光源のY角度
LENS_FLARE_EX_BANK 2 | s16 | s16 | colR | 色R | レンズフレア乗算色
LENS_FLARE_EX_BANK 3 | s16 | s16 | colG | 色G | レンズフレア乗算色
LENS_FLARE_EX_BANK 4 | s16 | s16 | colB | 色B | レンズフレア乗算色
LENS_FLARE_EX_BANK 5 | s16 | s16 | colA | 色RGB倍率[％] | レンズフレア乗算色
LENS_FLARE_EX_BANK 6 | f32 | f32 | lightDist | 光源距離[m] | 光源距離
DOF_BANK 0 | f32 | f32 | farDofBegin | 遠方開始距離[m] | 被写界深度で遠くがぼけ始める距離
DOF_BANK 1 | f32 | f32 | farDofEnd | 遠方終了距離[m] | 被写界深度で遠くがぼけ終わる距離
DOF_BANK 2 | u8 | u8 | farDofMul | 遠方強度[％] | 被写界深度のぼけ具合(0でぼけなくなります)
DOF_BANK 3 | dummy8 | dummy8 | pad_0[3] | パディング | ダミー
DOF_BANK 4 | f32 | f32 | nearDofBegin | 近傍開始距離[m] | 被写界深度で近くがぼけ始める距離(終了距離より遠くします)
DOF_BANK 5 | f32 | f32 | nearDofEnd | 近傍終了距離[m] | 被写界深度で近くがぼけ終わる距離(開始距離より近くします)
DOF_BANK 6 | u8 | u8 | nearDofMul | 近傍強度[％] | 被写界深度のぼけ具合(0でぼけなくなります)
DOF_BANK 7 | dummy8 | dummy8 | pad_1[3] | パディング | ダミー
DOF_BANK 8 | f32 | f32 | dispersionSq | ボケの大きさ | 値を大きくすると被写界深度のボケが強くなります
TONE_MAP_BANK 0 | s16 | s16 | bloomBegin | 近傍ブルーム閾値[％] | 
TONE_MAP_BANK 1 | s16 | s16 | bloomMul | 近傍ブルーム倍率[％] | 
TONE_MAP_BANK 2 | s16 | s16 | bloomBeginFar | 遠方ブルーム閾値[％] | 
TONE_MAP_BANK 3 | s16 | s16 | bloomMulFar | 遠方ブルーム倍率[％] | 
TONE_MAP_BANK 4 | f32 | f32 | bloomNearDist | ブルーム近傍距離 | 傍のパラメータが適用されます。(m)
TONE_MAP_BANK 5 | f32 | f32 | bloomFarDist | ブルーム遠方距離 | 方のパラメータが適用されます。(m)
TONE_MAP_BANK 6 | f32 | f32 | grayKeyValue | トーンマップの基準値 | と画面が明るくなり小さいと画面が暗くなります
TONE_MAP_BANK 7 | f32 | f32 | minAdaptedLum | 最小適応輝度 | と暗い場所に適応して見えるようになります
TONE_MAP_BANK 8 | f32 | f32 | maxAdapredLum | 最大適応輝度 | と明るい場所に適応して見えるようになります
TONE_MAP_BANK 9 | f32 | f32 | adaptSpeed | 適応速度 | 明順応、暗順応の速度が速くなります
TONE_MAP_BANK 10 | s8 | s8 | lightShaftBegin | ライトシャフト閾値[％] | えると光の筋がでます
TONE_MAP_BANK 11 | dummy8 | dummy8 | pad_0[3] | パディング | 
TONE_MAP_BANK 12 | f32 | f32 | lightShaftPower | ライトシャフトの強さ | 強さです。(0で消えます)
TONE_MAP_BANK 13 | f32 | f32 | lightShaftAttenRate | ライトシャフトの減衰率 | 減衰率です。小さくすると短くなります
TONE_MAP_BANK 14 | f32 | f32 | inverseToneMapMul | inverseToneMapMul | 
TONE_CORRECT_BANK 0 | f32 | f32 | brightnessR | 輝度R | 輝度
TONE_CORRECT_BANK 1 | f32 | f32 | brightnessG | 輝度G | 輝度
TONE_CORRECT_BANK 2 | f32 | f32 | brightnessB | 輝度B | 輝度
TONE_CORRECT_BANK 3 | f32 | f32 | contrastR | コントラストR | コントラスト
TONE_CORRECT_BANK 4 | f32 | f32 | contrastG | コントラストG | コントラスト
TONE_CORRECT_BANK 5 | f32 | f32 | contrastB | コントラストB | コントラスト
TONE_CORRECT_BANK 6 | f32 | f32 | saturation | 彩度 | 彩度
TONE_CORRECT_BANK 7 | f32 | f32 | hue | 色相 | 色相
TONE_CORRECT_BANK 8 |  | f32 | sfxMultiplier | sfxMultiplier | 
SHADOW_BANK 0 | s16 | s16 | lightDegRotX | 光源X角度[deg] | マップに影を落とす光源のX角度
SHADOW_BANK 1 | s16 | s16 | lightDegRotY | 光源Y角度[deg] | マップに影を落とす光源のY角度
SHADOW_BANK 2 | s16 | s16 | densityRatio | 濃さ[％] | 100％で最も濃くなります
SHADOW_BANK 3 | s16 | s16 | colR | 色R | 0〜255
SHADOW_BANK 4 | s16 | s16 | colG | 色G | 0〜255
SHADOW_BANK 5 | s16 | s16 | colB | 色B | 0〜255
SHADOW_BANK 6 | f32 | f32 | beginDist | 開始距離[m] | 0にしておくとカメラのニアクリップを使用
SHADOW_BANK 7 | f32 | f32 | endDist | 終了距離[m] | 終了距離[m]
SHADOW_BANK 8 | f32 | f32 | calibulateFar | ファークリップ自動調整距離(PSM用) | 光源方向を向いたときに終了距離を指定した距離分短くします
SHADOW_BANK 9 | f32 | f32 | fadeBeginDist | フェード開始距離[m] | フェード開始距離[m]
SHADOW_BANK 10 | f32 | f32 | fadeDist | フェード距離[m] | フェード距離[m]
SHADOW_BANK 11 | f32 | f32 | persedDepthOffset | Zオフセット(PSM用) | Zオフセット [m] （−）にするほどセルフシャードウが出難くなります(PSM用)
SHADOW_BANK 12 | f32 | f32 | ｇradFactor | パース調整パラメータ(PSM用) | −にするとシャドウマップのパースが弱まり,＋にするとパースが強まります
SHADOW_BANK 13 | f32 | f32 | shadowVolumeDepth | シャドウボリュームの長さ[m] | ビルなど高いオブジェクトの影を落としたいときは値を大きくします
LENS_FLARE_EX_BANK 0 | s16 | s16 | lightDegRotX | 光源X角度[deg] | 光源のX角度
LENS_FLARE_EX_BANK 1 | s16 | s16 | lightDegRotY | 光源Y角度[deg] | 光源のY角度
LENS_FLARE_EX_BANK 2 | s16 | s16 | colR | 色R | レンズフレア乗算色
LENS_FLARE_EX_BANK 3 | s16 | s16 | colG | 色G | レンズフレア乗算色
LENS_FLARE_EX_BANK 4 | s16 | s16 | colB | 色B | レンズフレア乗算色
LENS_FLARE_EX_BANK 5 | s16 | s16 | colA | 色RGB倍率[％] | レンズフレア乗算色
LENS_FLARE_EX_BANK 6 | f32 | f32 | lightDist | 光源距離[m] | 光源距離
ENV_LIGHT_TEX_BANK 0 | s8 | s8 | isUse | 使用するか | 0:しない, 1:する
ENV_LIGHT_TEX_BANK 1 | s8 | s8 | autoUpdate | 自動更新するか | 0:しない, 1:する
ENV_LIGHT_TEX_BANK 2 | dummy8 | dummy8 | pad_0[12] | パディング | ダミー
ENV_LIGHT_TEX_BANK 3 | s16 | s16 | invMulCol | RGB逆倍率[％] | 全ての光源色にこの値の逆数を掛けます
ENV_LIGHT_TEX_BANK 4 | s16 | s16 | resNameId_Dif0 | リソース名ID | [DIF0] テクスチャファイル名のID(-1:なし)
ENV_LIGHT_TEX_BANK 5 | s16 | s16 | invMulCol_Dif0 | RGB逆倍率[％] | [DIF0] 光源色にこの値の逆数を掛けます
ENV_LIGHT_TEX_BANK 6 | f32 | f32 | sepcPow_Dif0 | スペキュラ次数 | [DIF0] スペキュラ次数
ENV_LIGHT_TEX_BANK 7 | dummy8 | dummy8 | pad_Dif0[8] | パディング | [DIF0]  ダミー
ENV_LIGHT_TEX_BANK 8 | s16 | s16 | resNameId_Spc0 | リソース名ID | [SPC0] テクスチャファイル名のID(-1:なし)
ENV_LIGHT_TEX_BANK 9 | s16 | s16 | invMulCol_Spc0 | RGB逆倍率[％] | [SPC0] 光源色にこの値の逆数を掛けます
ENV_LIGHT_TEX_BANK 10 | f32 | f32 | sepcPow_Spc0 | スペキュラ次数 | [SPC0] スペキュラ次数
ENV_LIGHT_TEX_BANK 11 | dummy8 | dummy8 | pad_Spc0[8] | パディング | [SPC0]  ダミー
ENV_LIGHT_TEX_BANK 12 | s16 | s16 | resNameId_Spc1 | リソース名ID | [SPC1] テクスチャファイル名のID(-1:なし)
ENV_LIGHT_TEX_BANK 13 | s16 | s16 | invMulCol_Spc1 | RGB逆倍率[％] | [SPC1] 光源色にこの値の逆数を掛けます
ENV_LIGHT_TEX_BANK 14 | f32 | f32 | sepcPow_Spc1 | スペキュラ次数 | [SPC1] スペキュラ次数
ENV_LIGHT_TEX_BANK 15 | dummy8 | dummy8 | pad_Spc1[8] | パディング | [SPC1]  ダミー
ENV_LIGHT_TEX_BANK 16 | s16 | s16 | resNameId_Spc2 | リソース名ID | [SPC2] テクスチャファイル名のID(-1:なし)
ENV_LIGHT_TEX_BANK 17 | s16 | s16 | invMulCol_Spc2 | RGB逆倍率[％] | [SPC2] 光源色にこの値の逆数を掛けます
ENV_LIGHT_TEX_BANK 18 | f32 | f32 | sepcPow_Spc2 | スペキュラ次数 | [SPC2] スペキュラ次数
ENV_LIGHT_TEX_BANK 19 | dummy8 | dummy8 | pad_Spc2[8] | パディング | [SPC2]  ダミー
ENV_LIGHT_TEX_BANK 20 | s16 | s16 | resNameId_Spc3 | リソース名ID | [SPC3] テクスチャファイル名のID(-1:なし)
ENV_LIGHT_TEX_BANK 21 | s16 | s16 | invMulCol_Spc3 | RGB逆倍率[％] | [SPC3] 光源色にこの値の逆数を掛けます
ENV_LIGHT_TEX_BANK 22 | f32 | f32 | sepcPow_Spc3 | スペキュラ次数 | [SPC3] スペキュラ次数
ENV_LIGHT_TEX_BANK 23 | dummy8 | dummy8 | pad_Spc3[8] | パディング | [SPC3]  ダミー
ENV_LIGHT_TEX_BANK 24 | s16 | s16 | degRotX_00 | X角度 | 平行光源：００
ENV_LIGHT_TEX_BANK 25 | s16 | s16 | degRotY_00 | Ｙ角度 | 平行光源：００
ENV_LIGHT_TEX_BANK 26 | s16 | s16 | colR_00 | Ｒ | 平行光源：００
ENV_LIGHT_TEX_BANK 27 | s16 | s16 | colG_00 | Ｇ | 平行光源：００
ENV_LIGHT_TEX_BANK 28 | s16 | s16 | colB_00 | Ｂ | 平行光源：００
ENV_LIGHT_TEX_BANK 29 | s16 | s16 | colA_00 | RGB倍率[％] | 平行光源：００ (0:未使用)
ENV_LIGHT_TEX_BANK 30 | dummy8 | dummy8 | pad_00[4] | パディング | 平行光源：００
ENV_LIGHT_TEX_BANK 31 | s16 | s16 | degRotX_01 | X角度 | 平行光源：０１
ENV_LIGHT_TEX_BANK 32 | s16 | s16 | degRotY_01 | Ｙ角度 | 平行光源：０１
ENV_LIGHT_TEX_BANK 33 | s16 | s16 | colR_01 | Ｒ | 平行光源：０１
ENV_LIGHT_TEX_BANK 34 | s16 | s16 | colG_01 | Ｇ | 平行光源：０１
ENV_LIGHT_TEX_BANK 35 | s16 | s16 | colB_01 | Ｂ | 平行光源：０１
ENV_LIGHT_TEX_BANK 36 | s16 | s16 | colA_01 | RGB倍率[％] | 平行光源：０１ (0:未使用)
ENV_LIGHT_TEX_BANK 37 | dummy8 | dummy8 | pad_01[4] | パディング | 平行光源：０１
ENV_LIGHT_TEX_BANK 38 | s16 | s16 | degRotX_02 | X角度 | 平行光源：０２
ENV_LIGHT_TEX_BANK 39 | s16 | s16 | degRotY_02 | Ｙ角度 | 平行光源：０２
ENV_LIGHT_TEX_BANK 40 | s16 | s16 | colR_02 | Ｒ | 平行光源：０２
ENV_LIGHT_TEX_BANK 41 | s16 | s16 | colG_02 | Ｇ | 平行光源：０２
ENV_LIGHT_TEX_BANK 42 | s16 | s16 | colB_02 | Ｂ | 平行光源：０２
ENV_LIGHT_TEX_BANK 43 | s16 | s16 | colA_02 | RGB倍率[％] | 平行光源：０２ (0:未使用)
ENV_LIGHT_TEX_BANK 44 | dummy8 | dummy8 | pad_02[4] | パディング | 平行光源：０２
ENV_LIGHT_TEX_BANK 45 | s16 | s16 | degRotX_03 | X角度 | 平行光源：０３
ENV_LIGHT_TEX_BANK 46 | s16 | s16 | degRotY_03 | Ｙ角度 | 平行光源：０３
ENV_LIGHT_TEX_BANK 47 | s16 | s16 | colR_03 | Ｒ | 平行光源：０３
ENV_LIGHT_TEX_BANK 48 | s16 | s16 | colG_03 | Ｇ | 平行光源：０３
ENV_LIGHT_TEX_BANK 49 | s16 | s16 | colB_03 | Ｂ | 平行光源：０３
ENV_LIGHT_TEX_BANK 50 | s16 | s16 | colA_03 | RGB倍率[％] | 平行光源：０３ (0:未使用)
ENV_LIGHT_TEX_BANK 51 | dummy8 | dummy8 | pad_03[4] | パディング | 平行光源：０３
ENV_LIGHT_TEX_BANK 52 | s16 | s16 | degRotX_04 | X角度 | 平行光源：０４
ENV_LIGHT_TEX_BANK 53 | s16 | s16 | degRotY_04 | Ｙ角度 | 平行光源：０４
ENV_LIGHT_TEX_BANK 54 | s16 | s16 | colR_04 | Ｒ | 平行光源：０４
ENV_LIGHT_TEX_BANK 55 | s16 | s16 | colG_04 | Ｇ | 平行光源：０４
ENV_LIGHT_TEX_BANK 56 | s16 | s16 | colB_04 | Ｂ | 平行光源：０４
ENV_LIGHT_TEX_BANK 57 | s16 | s16 | colA_04 | RGB倍率[％] | 平行光源：０４ (0:未使用)
ENV_LIGHT_TEX_BANK 58 | dummy8 | dummy8 | pad_04[4] | パディング | 平行光源：０４
ENV_LIGHT_TEX_BANK 59 | s16 | s16 | degRotX_05 | X角度 | 平行光源：０５
ENV_LIGHT_TEX_BANK 60 | s16 | s16 | degRotY_05 | Ｙ角度 | 平行光源：０５
ENV_LIGHT_TEX_BANK 61 | s16 | s16 | colR_05 | Ｒ | 平行光源：０５
ENV_LIGHT_TEX_BANK 62 | s16 | s16 | colG_05 | Ｇ | 平行光源：０５
ENV_LIGHT_TEX_BANK 63 | s16 | s16 | colB_05 | Ｂ | 平行光源：０５
ENV_LIGHT_TEX_BANK 64 | s16 | s16 | colA_05 | RGB倍率[％] | 平行光源：０５ (0:未使用)
ENV_LIGHT_TEX_BANK 65 | dummy8 | dummy8 | pad_05[4] | パディング | 平行光源：０５
ENV_LIGHT_TEX_BANK 66 | s16 | s16 | degRotX_06 | X角度 | 平行光源：０６
ENV_LIGHT_TEX_BANK 67 | s16 | s16 | degRotY_06 | Ｙ角度 | 平行光源：０６
ENV_LIGHT_TEX_BANK 68 | s16 | s16 | colR_06 | Ｒ | 平行光源：０６
ENV_LIGHT_TEX_BANK 69 | s16 | s16 | colG_06 | Ｇ | 平行光源：０６
ENV_LIGHT_TEX_BANK 70 | s16 | s16 | colB_06 | Ｂ | 平行光源：０６
ENV_LIGHT_TEX_BANK 71 | s16 | s16 | colA_06 | RGB倍率[％] | 平行光源：０６ (0:未使用)
ENV_LIGHT_TEX_BANK 72 | dummy8 | dummy8 | pad_06[4] | パディング | 平行光源：０６
ENV_LIGHT_TEX_BANK 73 | s16 | s16 | degRotX_07 | X角度 | 平行光源：０７
ENV_LIGHT_TEX_BANK 74 | s16 | s16 | degRotY_07 | Ｙ角度 | 平行光源：０７
ENV_LIGHT_TEX_BANK 75 | s16 | s16 | colR_07 | Ｒ | 平行光源：０７
ENV_LIGHT_TEX_BANK 76 | s16 | s16 | colG_07 | Ｇ | 平行光源：０７
ENV_LIGHT_TEX_BANK 77 | s16 | s16 | colB_07 | Ｂ | 平行光源：０７
ENV_LIGHT_TEX_BANK 78 | s16 | s16 | colA_07 | RGB倍率[％] | 平行光源：０７ (0:未使用)
ENV_LIGHT_TEX_BANK 79 | dummy8 | dummy8 | pad_07[4] | パディング | 平行光源：０７
ENV_LIGHT_TEX_BANK 80 | s16 | s16 | degRotX_08 | X角度 | 平行光源：０８
ENV_LIGHT_TEX_BANK 81 | s16 | s16 | degRotY_08 | Ｙ角度 | 平行光源：０８
ENV_LIGHT_TEX_BANK 82 | s16 | s16 | colR_08 | Ｒ | 平行光源：０８
ENV_LIGHT_TEX_BANK 83 | s16 | s16 | colG_08 | Ｇ | 平行光源：０８
ENV_LIGHT_TEX_BANK 84 | s16 | s16 | colB_08 | Ｂ | 平行光源：０８
ENV_LIGHT_TEX_BANK 85 | s16 | s16 | colA_08 | RGB倍率[％] | 平行光源：０８ (0:未使用)
ENV_LIGHT_TEX_BANK 86 | dummy8 | dummy8 | pad_08[4] | パディング | 平行光源：０８
ENV_LIGHT_TEX_BANK 87 | s16 | s16 | degRotX_09 | X角度 | 平行光源：０９
ENV_LIGHT_TEX_BANK 88 | s16 | s16 | degRotY_09 | Ｙ角度 | 平行光源：０９
ENV_LIGHT_TEX_BANK 89 | s16 | s16 | colR_09 | Ｒ | 平行光源：０９
ENV_LIGHT_TEX_BANK 90 | s16 | s16 | colG_09 | Ｇ | 平行光源：０９
ENV_LIGHT_TEX_BANK 91 | s16 | s16 | colB_09 | Ｂ | 平行光源：０９
ENV_LIGHT_TEX_BANK 92 | s16 | s16 | colA_09 | RGB倍率[％] | 平行光源：０９ (0:未使用)
ENV_LIGHT_TEX_BANK 93 | dummy8 | dummy8 | pad_09[4] | パディング | 平行光源：０９
LOD_BANK 0 | f32 | f32 | lv01_BorderDist | LODレベル0-1境界距離[m] | 切り替わる中心
LOD_BANK 1 | f32 | f32 | lv01_PlayDist | LODレベル0-1遊び距離[m] | 境界中心で±遊び
LOD_BANK 2 | f32 | f32 | lv12_BorderDist | LODレベル1-2境界距離[m] | 切り替わる中心
LOD_BANK 3 | f32 | f32 | lv12_PlayDist | LODレベル1-2遊び距離[m] | 境界中心で±遊び
ATK_PARAM_ST 0 | f32 | f32 | hit0_Radius | あたり0 半径 | 球、カプセルの半径
ATK_PARAM_ST 1 | f32 | f32 | hit1_Radius | あたり1 半径 | 球、カプセルの半径
ATK_PARAM_ST 2 | f32 | f32 | hit2_Radius | あたり2 半径 | 球、カプセルの半径
ATK_PARAM_ST 3 | f32 | f32 | hit3_Radius | あたり3 半径 | 球、カプセルの半径
ATK_PARAM_ST 4 | f32 | f32 | knockbackDist | ノックバック距離[m] | ノックバック距離[m]
ATK_PARAM_ST 5 | f32 | f32 | hitStopTime | ヒットストップ時間[s] | ヒットストップの停止時間[s]
ATK_PARAM_ST 6 | s32 | s32 | spEffectId0 | 特殊効果0 | 特殊効果パラメータで作成したＩＤを入れる
ATK_PARAM_ST 7 | s32 | s32 | spEffectId1 | 特殊効果1 | 特殊効果パラメータで作成したＩＤを入れる
ATK_PARAM_ST 8 | s32 | s32 | spEffectId2 | 特殊効果2 | 特殊効果パラメータで作成したＩＤを入れる
ATK_PARAM_ST 9 | s32 | s32 | spEffectId3 | 特殊効果3 | 特殊効果パラメータで作成したＩＤを入れる
ATK_PARAM_ST 10 | s32 | s32 | spEffectId4 | 特殊効果4 | 特殊効果パラメータで作成したＩＤを入れる
ATK_PARAM_ST 11 | s16 | s16 | hit0_DmyPoly1 | あたり0 ダミポリ1 | 球、カプセル位置のダミポリ
ATK_PARAM_ST 12 | s16 | s16 | hit1_DmyPoly1 | あたり1 ダミポリ1 | 球、カプセル位置のダミポリ
ATK_PARAM_ST 13 | s16 | s16 | hit2_DmyPoly1 | あたり2 ダミポリ1 | 球、カプセル位置のダミポリ
ATK_PARAM_ST 14 | s16 | s16 | hit3_DmyPoly1 | あたり3 ダミポリ1 | 球、カプセル位置のダミポリ
ATK_PARAM_ST 15 | s16 | s16 | hit0_DmyPoly2 | あたり0 ダミポリ2 | カプセルのもうひとつの点の位置ダミポリ。-1だと球になる
